US_STATE_CODE, LAT, LON 
AK, 61.370717, -152.40442
AL, 32.806673, -86.791133
AR, 34.969705, -92.373124
AS, 14.2412,   -170.719577
AZ, 33.729761, -111.431224
CA, 36.116203, -119.681563
CO, 39.05981, -105.311105
CT, 41.597781, -72.755369
DC, 38.897439, -77.026816
DE, 39.318522, -75.507138
FL, 27.766279, -81.686782
FM, 7.058882,  154.066217
GA, 33.040618, -83.643072
GU, 13.447304, 144.753927
HI, 21.094319, -157.498339
IA, 42.011538, -93.210526
ID, 44.24046, -114.478825
IL, 40.349455, -88.986137
IN, 39.849425, -86.258278
KS, 38.526599, -96.726489
KY, 37.668141, -84.670064
LA, 31.169546, -91.867805
MA, 42.230173, -71.530104
MD, 39.063944, -76.802101
ME, 44.693948, -69.381924
MH, 7.24288,  170.95885
MI, 43.326618, -84.536093
MN, 45.694455, -93.900189
MO, 38.456087, -92.288368
MP, 14.803838, 145.551485
MS, 32.741647, -89.678697
MT, 46.921924, -110.454351
NC, 35.630066, -79.806417
ND, 47.52891, -99.784012
NE, 41.12537,  -98.268081
NH, 43.452491, -71.563899
NJ, 40.298904, -74.521013
NM, 34.840514, -106.248483
NV, 38.313513, -117.055372
NY, 42.165724, -74.948052
OH, 40.388781, -82.764916
OK, 35.565342, -96.928919
OR, 44.57202, -122.070939
PA, 40.590752, -77.209755
PR, 18.279327, -66.319176
PW, 9.895769,  138.655606
RI, 41.680893, -71.511782
SC, 33.856893, -80.945011
SD, 44.299782, -99.438825
TN, 35.747845, -86.692343
TX, 31.054487, -97.56346
UT, 40.150032, -111.862433
VA, 37.769335, -78.169968
VI, 18.095907, -64.839891
VT, 44.045877, -72.710689
WA, 47.400902, -121.490493
WI, 44.268544, -89.616509
WV, 38.491226, -80.954452
WY, 42.755965, -107.302488
